Minisector,NOR,GAS,Fastest
0,281.98204544000004,288.660906540211,GAS
1,210.52967445681404,206.09129583654098,NOR
2,223.03976253226665,222.98566208422207,NOR
3,270.00107173206345,270.15751488,GAS
4,243.95247936147564,245.18441719906758,GAS
5,128.7339831925923,128.6969705771609,NOR
6,210.1553301486123,210.52611684952382,GAS
7,254.6878913770545,254.3743963089039,NOR
8,240.34540399175407,237.08298788500957,NOR
9,228.06668668041516,232.13352335783392,GAS
10,270.6326280688133,272.07473543837943,GAS
11,288.85749712610846,289.05147435885715,GAS
12,298.72587740016706,299.58661439668265,GAS
13,303.30371437104765,304.54627689280755,GAS
14,296.1655012939327,300.12820855714284,GAS
15,248.34279875746032,249.7093332997049,GAS
16,240.0147320214355,236.94652214857143,NOR
17,276.1940243051429,274.1572852864,NOR
18,282.41862463318034,286.878441250786,GAS
19,157.0640542845113,160.32647357099805,GAS
20,212.2952113774587,209.19916732234074,NOR
21,187.442709627013,178.00430060359017,NOR
22,140.56756674775855,142.69054307137952,GAS
23,234.53378034140934,234.90968819555556,GAS
24,276.05976429298704,275.7153674216237,NOR
25,285.57857188571427,,NOR
