Minisector,MAG,STR,Fastest
0,286.18949404145457,286.6217694887613,STR
1,296.5339536132765,299.0918190315671,STR
2,301.17418147817733,304.91263366843776,STR
3,298.9176599012063,305.42395824761905,STR
4,192.27141248231163,180.25975435219823,MAG
5,209.30381682590476,212.38085261206803,STR
6,261.89412352617626,261.78159973103914,MAG
7,262.3612587925466,258.70265637968254,MAG
8,183.62919032622148,180.01636387337868,MAG
9,149.61357700609227,139.97371895996378,MAG
10,180.37345759333593,178.62746339148052,MAG
11,256.2927561594333,257.1328758337046,STR
12,244.8597247987011,236.63297604161914,MAG
13,217.52737568914287,223.6844778043721,STR
14,263.46850041168506,262.70975042258533,MAG
15,168.25897202015653,163.0691018014645,MAG
16,217.26623233510645,218.45041655652173,STR
17,237.06421974718614,238.83564341588115,STR
18,130.5147294300534,129.6575320798328,MAG
19,243.45333293389436,238.2710283256917,MAG
20,275.0734024304762,275.8471490628389,STR
21,247.5063916743607,225.45942135040536,MAG
22,135.83990098490546,134.94448241500797,MAG
23,201.27511059633235,205.70947541182275,STR
24,264.4746339718788,266.5186528747341,STR
