Minisector,HAM,OCO,Fastest
0,323.8878786181818,320.77381928663544,HAM
1,331.33901586475565,329.14311573333333,HAM
2,327.95221870822513,324.9343614060606,HAM
3,195.50090044803142,209.4695682546062,OCO
4,124.46450147814976,113.64418739377729,HAM
5,265.20335584197534,260.9677803604112,HAM
6,301.86765845079367,299.88041141091975,HAM
7,316.330615884058,311.6298261561511,HAM
8,282.2211918872381,284.49633339733333,OCO
9,151.71935126241135,143.9902232087871,HAM
10,228.54866196686868,222.30946129463504,HAM
11,224.75278975238095,219.21569658437704,HAM
12,203.69175905531594,200.44551205788656,HAM
13,270.69643522801704,266.3730211421963,HAM
14,307.0282773542095,304.15036266666664,HAM
15,320.8925724289855,315.80985405501,HAM
16,273.6947640647119,271.7862199647266,HAM
17,213.65405241456583,202.34947839347697,HAM
18,275.22625005599957,268.1930744804432,HAM
19,308.82934757101447,304.40632481508925,HAM
20,321.9239342500445,316.7663043710145,HAM
21,306.0631222592133,309.12806488561944,OCO
22,216.03589666058923,210.28299785438085,HAM
23,268.25145449876544,262.63402717463623,HAM
24,306.6117557142857,301.4238157236141,HAM
25,,315.43333333333334,OCO
