Minisector,PER,MAG,Fastest
0,304.5251009197848,301.36609128507934,PER
1,238.783278799552,242.2366626133619,MAG
2,126.96122338500594,129.61382799328675,MAG
3,242.3046287664261,237.27554755619047,PER
4,189.87999180268963,186.74856318189717,PER
5,248.10733536234346,249.01670782655032,MAG
6,233.82120216997427,223.44676313227987,PER
7,257.9067521220838,247.90588670707075,PER
8,291.26323010077925,286.52576111853483,PER
9,199.3206198723986,214.51313726407244,MAG
10,199.22454689023857,196.6748797485208,PER
11,272.0243614371848,272.4924108219202,MAG
12,211.29900116813852,205.22972171301944,PER
13,250.12624828472482,240.35823388548826,PER
14,290.75981573333337,288.28645123426014,PER
15,307.4681968181521,313.86342959666194,MAG
16,309.1143442144108,321.50716222651783,MAG
17,212.86931547649968,198.68247357624068,PER
18,262.25817636200014,250.71933101128207,PER
19,295.11545596275135,296.26967809586205,MAG
20,309.82688490522594,322.51968409777714,MAG
21,312.2462794648196,327.0223135151009,MAG
22,154.75367087404277,150.94653712303196,PER
23,229.70396837315022,219.7185417827311,PER
24,286.9079881576434,292.1081546895238,MAG
25,,311.1574015501997,MAG
