Minisector,PER,STR,Fastest
0,253.310972329972,250.34847826497355,PER
1,208.9427999011183,206.1336555097345,PER
2,201.6456452883503,209.71968672435375,STR
3,253.21879265322488,261.9302412303345,STR
4,275.95134421778823,273.4385912152381,PER
5,291.31131254400003,289.3985911032381,PER
6,158.16409310153972,152.8122999876886,PER
7,175.20281020521782,187.3979643001371,STR
8,266.8553362320098,266.7206521261008,PER
9,309.19863946285716,291.4978520070172,PER
10,325.9773532797178,301.90143995791385,PER
11,329.0492071830082,297.253703969161,PER
12,125.12831470255558,111.85529048453984,PER
13,184.47197281970296,188.9136201609408,STR
14,268.5107972057301,268.10617396363637,PER
15,294.41846862933335,291.17804697988544,PER
16,301.092564785332,293.1153623639827,PER
17,189.16274034697366,181.45871996869633,PER
18,218.23958301798942,214.8727684842328,PER
19,265.3346422750867,255.10236509890072,PER
20,149.65814050529536,152.6329485458503,STR
21,144.8388986710027,146.2255637353916,STR
22,218.7587766846387,217.1555755548707,PER
23,232.58267143903979,228.2374542904762,PER
24,157.4602705560134,159.61610865706922,STR
25,220.97222044444445,227.56818036363634,STR
