Minisector,VER,LEC,Fastest
0,297.3660486218552,292.52812501333335,VER
1,298.231140322807,292.9972147746238,VER
2,298.0859649122807,293.43859649122805,VER
3,237.86428717404294,229.55486594410183,VER
4,235.689080595482,228.235165696,VER
5,114.06216428178999,113.28025362854167,VER
6,216.5865651359961,215.05026536296296,VER
7,269.6600384,267.7232888090107,VER
8,235.8200293025349,250.63043311304347,LEC
9,114.80824989746492,115.14203134366748,LEC
10,235.84992888076192,233.02309585066666,VER
11,253.9077048996234,252.53869329637183,VER
12,137.47156940436804,137.04489660952382,VER
13,213.05251440311253,209.60737511781858,VER
14,270.5224207746032,268.22491522902493,VER
15,234.18849873066665,225.98504793563623,VER
16,159.74863455022813,155.7977082817408,VER
17,241.89166715362316,241.62714877848936,VER
18,128.376485640551,125.92650629623648,VER
19,148.0042577142093,144.18202181464707,VER
20,188.88625123555553,192.10490779366998,LEC
21,258.6791045643318,260.22159122424245,LEC
22,275.9346373514739,273.9862206170003,VER
23,283.5873016888889,279.6494049015873,VER
24,290.2979465447619,286.03115083174606,VER
