Minisector,VER,OCO,Fastest
0,282.42368812867727,286.12246464199484,OCO
1,150.97015674119984,148.91951473511048,VER
2,237.84364376046574,221.2688822283015,VER
3,285.4952571552778,280.2222403743723,VER
4,312.7900996769766,314.0481931282152,OCO
5,308.60593585981,297.31305401065566,VER
6,155.26352233206154,148.4383530347903,VER
7,253.40155685921837,255.7133000852711,OCO
8,114.56550924868436,114.30300442750692,VER
9,177.0062049506899,166.46032882966676,VER
10,275.74944835344695,277.2788835059765,OCO
11,301.5703499227429,302.8115172342857,OCO
12,213.60561411290828,207.44788148875256,VER
13,171.38916929895873,171.6513140291847,OCO
14,281.84112308451347,280.9509016342857,VER
15,314.09320415478675,315.0645641037399,OCO
16,326.6801019616557,330.52739313131315,OCO
17,332.4710177462857,338.1744809001146,OCO
18,335.77268669123174,341.6016356780247,OCO
19,337.6128344493424,342.52551252486774,OCO
20,198.80794091209387,189.22853493855155,VER
21,182.24773223073396,180.52531091289038,VER
22,282.6551872490472,283.730390021978,OCO
23,311.96036176255654,316.26487940693875,OCO
24,322.01663890460156,329.48081380788443,OCO
25,,331.01176470588234,OCO
