Minisector,RUS,ALO,Fastest
0,298.9960631541935,301.3231646710104,ALO
1,151.975642219457,155.27294843792015,ALO
2,148.89403596463887,148.9252239707244,ALO
3,231.04923167463463,228.15608359285713,RUS
4,287.79384399627924,286.6867307942029,RUS
5,291.6414963309421,289.3553675522932,RUS
6,138.6952646061343,144.11874406495835,ALO
7,137.17001312063664,136.05262644051888,RUS
8,131.5904682374677,133.18915865507367,ALO
9,187.0855327733858,190.9879228175084,ALO
10,129.9139095780752,124.7255680835789,RUS
11,122.09201271988637,124.03271725285896,ALO
12,167.89272902750278,164.67913392279473,RUS
13,270.28145857333334,270.0840209603342,RUS
14,294.452595978836,292.9586949101449,RUS
15,142.36803073101552,136.78350538271832,RUS
16,205.40899258637558,188.73004237930277,RUS
17,173.16034407907688,172.61321059642435,RUS
18,270.245056405008,273.99542308107954,ALO
19,294.4419982060606,295.81472958611965,ALO
20,309.99528268900906,310.01918415023255,ALO
21,319.2197147119192,317.69722225777775,RUS
22,324.94278298588245,322.6769331227567,RUS
23,328.0118054806349,325.930217293913,RUS
24,326.6461706768254,325.4205499479251,RUS
25,328.0,,RUS
