Minisector,LEC,RIC,Fastest
0,298.287396766994,297.37957144990474,LEC
1,158.36096256155597,158.19422928881082,LEC
2,153.36749079758138,149.24158000763828,LEC
3,221.8191571784089,225.2966392976555,RIC
4,284.79961114725273,288.120375396337,RIC
5,294.69679487179485,289.40972222222223,LEC
6,146.85736699120173,144.32478506447322,LEC
7,141.79925315153295,138.25559992847425,LEC
8,148.4499830856908,143.87966858636787,LEC
9,178.2828470549503,185.80959501379579,RIC
10,133.15019343242696,127.52722345680476,LEC
11,127.36542764841245,124.57719559100812,LEC
12,160.61206272029705,167.5826501433637,RIC
13,264.77246360653305,271.9259037855379,RIC
14,292.56971171282055,291.5847204136306,LEC
15,155.65983870320701,149.10806501676208,LEC
16,214.04068583081232,208.41437674469393,LEC
17,166.5327723315942,167.2794138170362,RIC
18,269.9951748028377,272.58024691358025,RIC
19,291.78400008533333,297.5235964693198,RIC
20,304.3590773012518,310.69742063492066,RIC
21,311.2256952774707,318.1112080604149,RIC
22,314.9594203362319,319.84057971014494,RIC
23,317.56404916976595,321.7348484848485,RIC
24,303.63845235809526,320.3071180888889,RIC
