Minisector,PER,ALB,Fastest
0,320.94986983238687,317.3047548816126,PER
1,329.75214862079173,326.74656249,PER
2,326.4935070336508,323.9220110771581,PER
3,200.50354819839953,183.82618907283833,PER
4,111.32743790983294,123.55029852650529,ALB
5,262.820875086011,265.9105188767273,ALB
6,299.95568001567943,296.36848608987015,PER
7,317.1204462072596,314.3695370745679,PER
8,266.6742480988523,256.9460327122689,PER
9,138.2991544347473,139.70792853434406,ALB
10,214.34240190483342,201.21059573930904,PER
11,204.32048704487622,209.430409230216,ALB
12,189.55336421541858,187.4094734043369,PER
13,264.9755654184127,265.35691650133333,ALB
14,300.90005143947894,299.86716206049095,PER
15,316.10194527982685,312.63712589351474,PER
16,257.50718529400933,256.53952949335394,PER
17,204.33319377597545,203.22734944550064,PER
18,271.9007567329041,269.60550348733733,PER
19,306.97059766795576,303.7992188706151,PER
20,322.4752896442931,319.74010025062654,PER
21,309.30903438776335,284.2645604400881,PER
22,204.04591545804013,196.36195196721775,PER
23,260.51368481269844,261.2031341738113,ALB
24,300.83561568312825,300.7756348952381,PER
25,312.9428571428572,,PER
