Minisector,GAS,OCO,Fastest
0,276.08405090309645,282.7934839254701,OCO
1,154.34636375853756,153.5106332066609,GAS
2,140.48540533699816,143.23273450842743,OCO
3,223.65626130942468,224.1787604212011,OCO
4,281.29335347936507,283.21963955336787,OCO
5,283.97458951064937,287.91436084293275,OCO
6,142.44176233651694,135.0384251394276,GAS
7,135.85639024639218,132.63789886142132,GAS
8,134.43908673029392,138.84031262350481,OCO
9,184.4110791805221,185.08783120381892,OCO
10,123.11782017474972,128.35285618839316,OCO
11,118.10932626974446,120.97152943612039,OCO
12,162.89196332033535,155.2784029994605,GAS
13,264.0971630931803,263.6021914021399,GAS
14,286.16655565155554,286.32869730403496,OCO
15,145.53199528083576,143.9929326381945,GAS
16,199.25861815534392,201.6791711211159,OCO
17,166.91387155397683,163.91802529550264,GAS
18,266.71589493671183,269.4425765558793,OCO
19,289.73598543183124,294.9542965367965,OCO
20,303.2552875838816,310.9412198249697,OCO
21,310.7366541172932,319.30052153113746,OCO
22,313.443287275353,322.9437252021164,OCO
23,316.21647728484845,324.4387563642732,OCO
24,313.90673094862245,317.04884684041645,OCO
25,309.26428525714283,313.3166670222222,OCO
