Minisector,RUS,OCO,Fastest
0,292.5200368153955,281.412535157962,RUS
1,150.33051330752485,148.5684484655383,RUS
2,226.85801610589337,221.2688822283015,RUS
3,285.0138312459218,281.16909948853004,RUS
4,315.48742190363896,314.57202761205065,RUS
5,285.7783204665387,297.31305401065566,OCO
6,150.92788906907225,148.4383530347903,RUS
7,247.47454482133028,255.7133000852711,OCO
8,114.09377758692229,113.96770257176372,RUS
9,173.10401913700437,168.15674835195134,RUS
10,280.2791781198932,277.2788835059765,RUS
11,302.8546423790476,302.8115172342857,RUS
12,218.67502244811521,204.32119606208977,RUS
13,170.48393226279953,177.6113960783374,OCO
14,280.126271596595,283.12695771012983,OCO
15,315.07811753529853,315.0645641037399,RUS
16,327.62371603330695,330.52739313131315,OCO
17,335.95199125621934,338.1744809001146,OCO
18,339.2319930788456,341.69707585497076,OCO
19,341.3469297964912,342.48103819911114,OCO
20,189.71638937347444,184.3963023776002,RUS
21,181.0436432986325,186.0430729072704,OCO
22,283.59513997025283,284.51954215449734,OCO
23,315.2456213926737,316.7995166358406,OCO
24,325.62593695499305,329.5573613527843,OCO
25,323.0,,RUS
