Minisector,BOT,RIC,Fastest
0,257.1761153393985,247.56920962351936,BOT
1,208.75966913015873,208.9585182137211,RIC
2,223.35534905603095,221.4674479990963,BOT
3,261.87216095140417,262.3096340091711,RIC
4,275.51923714194345,276.61933316266663,RIC
5,216.01151598571428,223.6628715538081,RIC
6,98.72505571417643,96.09301438234718,BOT
7,182.63770858025393,183.87419769427433,RIC
8,268.1969547897436,268.1331727179487,BOT
9,289.66397407241163,290.2630434782609,RIC
10,298.3286457777778,298.3159419826087,BOT
11,293.63212435033034,299.5820652057971,RIC
12,113.59869707491023,116.68658979985186,RIC
13,216.56878602380954,212.15677036666668,BOT
14,276.6121187230476,275.5893108957466,BOT
15,293.51689949151137,295.81590901818186,RIC
16,215.21673520612615,241.68560262474267,RIC
17,126.51872246834915,125.71158789426703,BOT
18,152.6045854095238,153.3250393073389,RIC
19,252.17579777593141,253.4689883526601,RIC
20,157.44232600799424,162.01240430564783,RIC
21,131.22720826862306,128.71962739727715,BOT
22,206.94157813290562,204.53421038511192,BOT
23,208.07999826673932,218.49818264876563,RIC
24,169.21839404227643,168.345964266992,BOT
25,,228.78541760000002,RIC
