Minisector,ALB,HUL,Fastest
0,232.09494104606006,228.78745317325107,ALB
1,279.2484363999153,278.73279904022075,ALB
2,293.1632911339625,294.06785846219077,HUL
3,300.08594256876506,303.1010629688766,HUL
4,267.67838382217946,269.0645189271183,HUL
5,169.7046605353881,163.51382574361293,ALB
6,260.24787404253937,257.28674744088653,ALB
7,277.7701958238806,278.6141305507246,HUL
8,222.91164410694327,216.63361867785076,ALB
9,216.61168150583623,216.13437685976533,ALB
10,185.17351501848552,184.41904991238042,ALB
11,227.60773391722051,218.9399539199233,ALB
12,210.85877541884938,206.7742167671192,ALB
13,220.09085218032723,214.67197293445872,ALB
14,225.9239233565302,214.0232201648571,ALB
15,183.75349954613193,180.1913013343991,ALB
16,245.31813994546584,242.04481927801086,ALB
17,281.95409509958836,282.88050000942116,HUL
18,295.09202515074276,299.08584113695184,HUL
19,286.40091789386685,300.92440492698415,HUL
20,134.48384709376472,131.16892325232942,ALB
21,163.70875177367188,161.030884846933,ALB
22,158.00733224400403,149.05248443750128,ALB
23,209.1252812398018,207.4281369549206,ALB
24,152.68417953235468,144.64089419915106,ALB
25,,179.5499989333333,HUL
