Minisector,LEC,PIA,Fastest
0,301.5524320950458,301.2524158813096,LEC
1,210.02574200060064,199.62330036145858,LEC
2,231.38814742439962,236.03623348053333,PIA
3,279.68816125709793,279.9132611963709,PIA
4,248.00143230454108,238.31397577885224,LEC
5,126.79428924150963,130.6729724817552,PIA
6,215.40027506349708,225.19928375574753,PIA
7,267.35519685514737,268.9375859063102,PIA
8,248.85899469793586,252.5363116856543,PIA
9,240.25089051165568,251.15179758181637,PIA
10,279.3100173078852,280.99251890077926,PIA
11,296.0192848048073,295.5823938624505,LEC
12,311.9265208967145,305.53168066733184,LEC
13,323.2314943068501,309.7876983873016,LEC
14,326.26055559111114,307.71125008,LEC
15,270.9150268659377,266.3627806537143,LEC
16,247.5877940231511,253.78518862876007,PIA
17,287.864908051948,283.46486187247166,LEC
18,310.3886002734362,294.114043984398,LEC
19,156.52853044018687,152.87994772631674,LEC
20,214.28322233843244,216.40438281472015,PIA
21,192.1186176618082,169.88748597576728,LEC
22,141.83327389342406,149.06036137149886,PIA
23,239.5022457385908,243.81501937034216,PIA
24,283.80764177577583,285.65004596013245,PIA
25,296.71666773333334,,LEC
