Minisector,NOR,SAI,Fastest
0,285.46700840749514,281.6101261970927,NOR
1,301.6161456875421,293.8249737772257,NOR
2,244.9159169211487,238.44633235862423,NOR
3,115.45057504045144,113.8268418015318,NOR
4,133.67890977759498,131.33160296170414,NOR
5,252.1883924063492,251.0287760886857,NOR
6,255.29882364305624,252.35654464707005,NOR
7,125.08584309850006,128.52546744652705,SAI
8,247.19938513720928,247.68574468760332,SAI
9,263.8730030015855,263.7130422750853,NOR
10,228.61843533964174,204.0359038899471,NOR
11,138.583409867183,138.12857903768474,NOR
12,204.33840450113584,208.85997475487727,SAI
13,268.00155831914753,259.56345965118015,NOR
14,117.78571269214511,119.09260316203842,SAI
15,188.70403948175087,198.53009060218778,SAI
16,262.79619912079727,263.4502678199034,SAI
17,291.4794025991111,290.3196907035777,NOR
18,304.1305407753005,303.1626121433058,NOR
19,311.1918274077193,309.6341050469136,NOR
20,312.52293348090427,308.9834459964849,NOR
21,187.3929429334588,168.06950070435997,NOR
22,144.33539512123676,151.4870657630376,SAI
23,209.754814233934,206.4592975067252,NOR
24,240.01577223987118,237.2457660102564,NOR
25,273.14444373333333,,NOR
