Minisector,LEC,ALB,Fastest
0,295.1000520590981,282.66955112699816,LEC
1,155.13144862328505,146.9530431362489,LEC
2,164.54794772653125,160.91048351213374,LEC
3,232.91925184922454,239.29585976845718,ALB
4,254.93503272899932,260.5162113629304,ALB
5,238.73964217858918,215.9737835163982,LEC
6,215.1973698305467,199.35238021460404,LEC
7,143.9978018929558,141.09222389048543,LEC
8,226.10323745876576,228.84308080332113,ALB
9,297.09194533595024,296.7417839492456,LEC
10,320.04117642875815,323.50023451172666,ALB
11,317.68788039788365,327.55653120676317,ALB
12,310.9306987045926,320.7856536941565,ALB
13,306.4355555555556,306.0011201301638,LEC
14,126.43863258703215,119.93387174382462,LEC
15,116.85002357577129,112.25180636007545,LEC
16,105.4125361490275,106.90106958362001,ALB
17,236.9015856793269,243.99789492783646,ALB
18,302.64358454179893,304.16490226161346,ALB
19,320.5713869894345,315.19861098922615,LEC
20,316.3235757170068,315.0984679579333,LEC
21,312.4193422596491,313.6637188155964,ALB
22,123.83124831681874,114.38694712640576,LEC
23,202.368326865266,209.43426038393767,ALB
24,277.19224939343434,273.8725714187255,LEC
25,288.0,,LEC
