Minisector,BOT,HAM,Fastest
0,294.47120314687675,294.3531891489079,BOT
1,206.40971223533862,207.04297003583358,HAM
2,233.28909115347557,230.92705841112416,BOT
3,275.60173483689704,275.16778266565143,BOT
4,234.45084369038136,230.3906457967113,BOT
5,126.99681048262404,128.3521059352471,HAM
6,217.0109480105721,215.51735263380945,BOT
7,264.71896644401414,260.30233910955945,BOT
8,216.44706283366594,207.97146448577183,BOT
9,208.96900222168662,207.70084494245674,BOT
10,266.14218494960716,265.06037910218254,BOT
11,210.48639129273138,214.49006526116082,HAM
12,180.20842886928725,183.00436221490932,HAM
13,263.8660922284017,261.4317746257148,BOT
14,284.2664471578948,281.2360319194027,BOT
15,266.6450798252176,264.4774304990999,BOT
16,245.38603992032998,246.76113782539656,HAM
17,276.1851707407142,273.85501550439744,BOT
18,289.4828792523506,285.89740128439087,BOT
19,182.14878033928554,180.4853997914001,BOT
20,217.85524958708558,214.06149306278317,BOT
21,169.89470264166687,171.19297318967816,HAM
22,147.36639134924354,145.75895741954264,BOT
23,243.55691807681993,243.90750748956887,HAM
24,281.9280040720355,281.82787527510163,BOT
25,290.83084508046807,291.0,HAM
