Minisector,NOR,VET,Fastest
0,214.94335644203238,188.4339342253185,NOR
1,204.10925237578283,264.37273343162576,VET
2,269.95523712761906,299.3093132862745,VET
3,306.0117205699681,311.51743041738524,VET
4,317.78613405938376,159.78325771989233,NOR
5,167.59099599139785,209.50669690581734,VET
6,201.56146037409565,278.32936234664567,VET
7,274.1734638035088,302.38186221176466,VET
8,304.61831586094144,314.72601511260507,VET
9,317.3867426764149,244.52062085993563,NOR
10,247.83826007272728,97.77601153883305,NOR
11,101.70731950765398,230.77600767204967,VET
12,225.22448378181818,290.3107011084312,VET
13,282.1731639038082,311.16416095502325,VET
14,306.58105701288514,216.01731187692306,NOR
15,218.32517153226038,124.16124484028708,NOR
16,131.2755800189246,237.7079920979592,VET
17,238.18224071111112,237.09534719114356,NOR
18,236.27973532121212,169.67174423333333,NOR
19,180.7938289320635,222.488509759526,VET
20,220.80067828489322,201.98303560437446,NOR
21,219.95490981587304,252.8945230019048,VET
22,262.682488884663,281.4707760368911,VET
23,287.44171526083437,291.0120875936508,VET
24,294.20046394074075,224.27708474666665,NOR
