Minisector,VER,RUS,Fastest
0,279.27763311596635,279.18518620506427,VER
1,123.32997996385778,113.6502358071875,VER
2,156.63347438279445,171.3188663835855,RUS
3,218.5940937254155,209.61716817563965,VER
4,162.6726977464263,163.5060020827525,RUS
5,240.34179397447338,245.31336596176732,RUS
6,212.3210207483857,185.30073179830825,VER
7,132.18619168218402,143.47882495719847,RUS
8,230.3340799806579,242.58239874445752,RUS
9,274.3880851806862,280.65441176470586,RUS
10,286.4541692212885,278.9280889350455,VER
11,155.89710377638264,153.9015682007843,VER
12,226.17445644676332,238.33255081048137,RUS
13,271.4897368421053,278.4754322482473,RUS
14,268.46940962735965,198.7795122939875,VER
15,105.23394824750694,107.64845711158387,RUS
16,219.65851337948988,226.67130753939392,RUS
17,269.29851540616244,282.6635850345403,RUS
18,290.120122905098,308.29491596638655,RUS
19,298.28446722523705,320.9330664703639,RUS
20,304.2518674136321,327.00573527843136,RUS
21,293.474345194794,210.0200220302222,VER
22,158.18509878334694,175.18921587906453,RUS
23,236.73399444426923,261.5507559724226,RUS
24,275.1418174213075,284.534441145744,RUS
25,283.38,,VER
