Minisector,OCO,TSU,Fastest
0,289.16738056272106,291.93988909259815,TSU
1,299.47208065274174,301.8946348552109,TSU
2,280.71384165502644,276.6122860846377,OCO
3,108.99502717284054,106.18549436904776,OCO
4,219.85578369836574,216.52351642574357,OCO
5,269.85572746909344,278.6980632275737,TSU
6,200.92771716813027,203.2232373469308,TSU
7,160.0238387956044,153.52280864664223,OCO
8,208.13359860691233,203.9958087036206,OCO
9,213.28547295510876,213.6900555986009,TSU
10,113.46885696351477,110.46758123707546,OCO
11,223.03209423622897,223.46104788212372,TSU
12,115.63283374432403,111.98439970806564,OCO
13,214.58013420694863,223.33075963982685,TSU
14,272.1550916765368,286.48258396998557,TSU
15,215.00387731301586,201.12448189675806,OCO
16,185.75507524390025,190.21296533669468,TSU
17,248.91491993256437,244.58223450471468,OCO
18,202.3136629004762,188.92512062095238,OCO
19,165.73098728556997,173.67782726196774,TSU
20,261.6991801216529,263.6283588688889,TSU
21,286.19536685764035,288.6984946943432,TSU
22,173.40580064837465,162.44808106056342,OCO
23,198.07137094618258,213.43050192117477,TSU
24,266.7330948063492,275.930233861241,TSU
