Minisector,HAM,ALO,Fastest
0,290.7676129714157,279.6309051410728,HAM
1,142.71307690720099,140.6585698095724,HAM
2,213.46646181847353,206.03044375211837,HAM
3,269.9654063912827,272.6661026150111,ALO
4,314.77895230988685,319.3695917187527,ALO
5,305.05927091274054,279.67178967965583,HAM
6,144.6451734708136,143.48202146572504,HAM
7,250.96764236832865,241.70854814257905,HAM
8,116.72207867513133,105.41435150638421,HAM
9,155.48284248427873,171.15137016049738,ALO
10,275.51024684920907,276.4543898493851,ALO
11,300.6081435710071,298.73990772142565,HAM
12,241.59020249725745,216.67834138012523,HAM
13,156.5132837067872,176.17089208963637,ALO
14,272.22619854108757,271.4374095902187,HAM
15,312.17622378729897,310.78866669815875,HAM
16,325.0869314012041,322.1564043674776,HAM
17,335.85874976969694,332.4764116293309,HAM
18,339.4491567746032,341.32646717512256,ALO
19,333.63272643209956,345.16324075259257,ALO
20,204.7365589951148,163.7114803143707,HAM
21,164.1934743020068,186.44455984974843,ALO
22,278.73414292903885,283.39745744588026,ALO
23,313.5711780482504,313.4556416300688,HAM
24,323.579119001144,323.6543480638942,ALO
