Minisector,HUL,ALO,Fastest
0,305.549846382399,292.2503991029318,HUL
1,322.51618420266664,301.6462602191597,HUL
2,332.1554896870799,305.7182341663492,HUL
3,309.95626845333334,291.07643589610393,HUL
4,160.9335234918927,163.8154811465534,ALO
5,204.1394876779221,213.91085209794343,ALO
6,234.66152955847167,245.4166257768944,ALO
7,268.859847825989,269.47676643598766,ALO
8,247.58481978412698,237.40746326857143,HUL
9,154.39181742540882,157.22566592426904,ALO
10,220.81348588738834,214.15783308788556,HUL
11,122.41387053645066,128.42654393166023,ALO
12,232.59666807926902,226.3014597774026,HUL
13,177.8286846216322,175.76329849317347,HUL
14,217.81629553421845,212.2141485625589,HUL
15,240.91888621978126,240.13642641849717,HUL
16,269.97132533391056,263.52235451225397,HUL
17,301.6932950857143,287.6235505656678,HUL
18,147.3749261400816,145.50278619159664,HUL
19,168.29021831619048,164.20230439689868,HUL
20,135.34585724163708,134.73290282668736,HUL
21,235.8452431985489,230.98424340870176,HUL
22,265.3771318056755,262.64736096780354,HUL
23,249.83956628502165,253.06367663058822,ALO
24,282.3752518872188,279.51763613325807,HUL
