Minisector,VET,HUL,Fastest
0,288.37254901960785,289.1618788510363,HUL
1,128.12684871400293,138.03632657924163,HUL
2,165.5477954144621,137.75434952707246,VET
3,220.77380816114055,227.8616536220109,HUL
4,163.70617283950617,159.0745536530783,VET
5,244.64902077848964,238.04122683508774,VET
6,212.45486542443064,232.58453959183672,HUL
7,140.79484580939737,130.4537281824192,VET
8,237.0340476190476,225.44071967607098,VET
9,277.1181037969187,273.1724818222222,VET
10,284.52964851586836,288.4898357600307,HUL
11,149.67367038573144,157.29529504945523,HUL
12,222.4889891098671,210.48496343035458,VET
13,271.27058823529416,265.30773732063494,VET
14,269.2444472888889,276.57657884850704,HUL
15,104.56925510879745,102.72557130126079,VET
16,226.96031613968253,205.0553177123634,VET
17,276.33723986666666,266.2086485214286,VET
18,297.7825519333333,291.2093746,VET
19,308.53538909847583,302.28674263342407,VET
20,312.45818792973546,309.15111104,VET
21,291.8118486473895,301.42166848,HUL
22,156.89118974668855,156.30129462643552,VET
23,238.6202955828024,226.3361094095238,VET
24,280.54004557037035,274.90908756610037,VET
