Minisector,HAM,NOR,Fastest
0,300.9833785154457,331.88386811108234,NOR
1,234.64661655931758,230.72164564636998,HAM
2,144.47278019937434,137.14870149881352,HAM
3,223.16280782271892,225.14940669219067,NOR
4,265.98172298001623,267.30673437334,NOR
5,291.0636072296228,292.9789838546845,NOR
6,305.6183913155296,303.86624121441713,HAM
7,285.5165503717188,267.3965826091903,HAM
8,182.1755850258952,168.85376041490932,HAM
9,244.21029306591578,244.691733420154,NOR
10,274.2241464520154,274.32236087420114,NOR
11,264.20799794473555,255.75447546069387,HAM
12,213.39959655175798,211.24944962687252,HAM
13,132.69252359693888,129.51763565848168,HAM
14,130.6353447070586,126.31280574307746,HAM
15,170.56339281382964,158.1585185847508,HAM
16,129.86125980904532,129.31098911990497,HAM
17,236.53656856727176,236.49794096413285,HAM
18,190.24625947251775,174.59145044654565,HAM
19,169.8980569492629,172.61560833818675,NOR
20,248.43048434246458,252.2165126998154,NOR
21,276.2262706171213,279.7593228645687,NOR
22,292.69839491383385,297.88704163816243,NOR
23,302.51054420965903,308.4361913735432,NOR
24,308.32675653816284,313.93333333333334,NOR
