Minisector,BOT,VET,Fastest
0,257.5410717688013,263.3618000555664,VET
1,140.9123370776124,137.7437686230492,BOT
2,261.8569467945739,269.7214565591658,VET
3,306.62270940661745,311.94790381449275,VET
4,305.83177106666665,310.5519927652174,VET
5,312.03033335466665,318.8703869269841,VET
6,317.6786232115942,324.69893986567814,VET
7,316.9902469660447,324.9069199038638,VET
8,216.1672957965288,207.35600454932361,BOT
9,198.25240702385707,193.11610871027008,BOT
10,195.4543499205199,195.01356900231153,BOT
11,163.98497008029975,163.58334641768343,BOT
12,247.44748414623658,253.39235110770264,VET
13,281.8740744691358,279.71794871794873,BOT
14,279.8603395160494,281.85052456780045,VET
15,285.2511230769231,291.3189437399365,VET
16,194.0387066105263,184.6599296514542,BOT
17,198.45441348854828,194.70162288280702,BOT
18,238.48591043932413,240.34347509891742,VET
19,286.61967210735446,288.2684142300137,VET
20,306.89308018835976,312.8552518285714,VET
21,313.3071428266667,322.05098304877345,VET
22,310.67552092063494,321.27166956315165,VET
23,271.58330819679003,286.6364234901099,VET
24,115.09628635079514,114.00542212888618,BOT
25,226.5749952,230.5,VET
