Minisector,HAM,LAW,Fastest
0,312.7163030865485,301.46618648161615,HAM
1,326.6830529777998,306.5884354176871,HAM
2,310.4064212376181,294.3283710731208,HAM
3,176.49950369565786,171.6803833247711,HAM
4,212.39100460159236,213.15938296008466,LAW
5,196.90624633233784,196.1471343211687,HAM
6,178.29045204014926,175.1185844387998,HAM
7,203.66765604501035,199.8407406231186,HAM
8,252.81113014367165,255.13294573496594,LAW
9,249.4260278621645,261.14290384646466,LAW
10,170.20749879793783,167.27898969368164,HAM
11,233.8253416508706,230.8137773238251,HAM
12,123.12196082716854,125.60459243412345,LAW
13,237.36784693800615,232.1299218126749,HAM
14,276.723468381687,275.02744866468834,HAM
15,272.95986504357865,273.1254244796687,LAW
16,202.33322218003073,202.52930008380952,LAW
17,198.46591287496162,190.53706466285715,HAM
18,291.3126746433058,287.7637827952655,HAM
19,326.61526745931496,317.7960637416572,HAM
20,328.03208014837094,325.7684438293207,HAM
21,301.8499239588572,303.1004816722655,LAW
22,251.4519918983286,263.0171433345653,LAW
23,124.83069739800716,123.79282892189268,HAM
24,246.56809147956045,248.7437055284705,LAW
25,284.8714313142857,,HAM
