Minisector,ALO,STR,Fastest
0,267.7635700276408,268.6990068191893,STR
1,288.77966305092656,288.81747719241616,STR
2,295.55777320006393,296.4671224746032,STR
3,123.39923536369521,121.07985538129036,ALO
4,189.16473078762115,192.83821595482019,STR
5,251.7262449254971,252.00182205490972,STR
6,136.9349471807117,132.91036332844226,ALO
7,194.86366426706638,195.80553415457615,STR
8,251.0501118750558,255.1511582498087,STR
9,279.03380271824267,280.9426708174043,STR
10,231.88037777577628,225.3497311004363,ALO
11,178.9095300920251,169.92763711468663,ALO
12,182.32629380466452,180.09485313316955,ALO
13,144.72708407731855,144.1981423373069,ALO
14,172.76839402655222,170.58041893511626,ALO
15,158.5604943413492,155.358538896289,ALO
16,216.95939724380452,212.27939403834142,ALO
17,230.7491617070132,230.27496073979964,ALO
18,237.81220273611893,234.63848163474128,ALO
19,233.47826409798827,223.26946318445215,ALO
20,141.6246146993649,141.5380093541385,ALO
21,133.45088380051075,126.61639928612027,ALO
22,165.53213370135248,168.6885757590548,STR
23,148.02766403391533,143.62480411159535,ALO
24,224.0947905404283,219.2302996554714,ALO
25,,251.25000106666667,STR
