Minisector,PER,VET,Fastest
0,289.44935696605796,286.920921064149,PER
1,300.43806560253967,297.36136360044895,PER
2,306.9164931259259,303.1212745254902,PER
3,308.0173608177778,303.5928618105263,PER
4,191.01646146873176,186.65672332095238,PER
5,214.44377893084092,206.99047375582916,PER
6,264.985454017974,261.9147673759637,PER
7,270.5039359839286,267.5310841029661,PER
8,189.56026337038776,186.31216763002269,PER
9,155.96498331418297,154.06271037528182,PER
10,183.56639168864152,172.243862125712,PER
11,257.54360801941044,253.08948313937822,PER
12,266.030166048,246.06240344935065,PER
13,231.22642501425383,216.11995699058167,PER
14,267.70397227644906,263.6162268678788,PER
15,164.645973398139,174.45139964092277,VET
16,222.2879358184153,209.56143571587302,PER
17,230.50205241713985,240.8202469324741,VET
18,135.75548665619922,127.35623624973604,PER
19,240.82246791040984,230.24147360398564,PER
20,277.44838452390024,274.05766290418745,PER
21,248.9562965782047,248.12182912172926,PER
22,144.01680988932586,138.16214013856705,PER
23,212.18664862476464,190.9639585247874,PER
24,267.9760353890909,261.60196578982493,PER
25,,278.6066480540819,VET
