Minisector,SAI,LEC,Fastest
0,292.9148549101449,292.12155779710145,SAI
1,300.73100656623376,300.6278984811594,SAI
2,274.50266820266665,283.40900275581816,LEC
3,113.7912399382668,112.77010523606636,SAI
4,231.52531977528935,230.29568893793103,SAI
5,273.43049954133335,272.11660082040106,SAI
6,202.36119639698717,207.2861534117647,LEC
7,175.46633732296436,175.0287293673047,SAI
8,216.61009120950177,219.0082827276919,LEC
9,222.53775596277603,229.8227012781609,LEC
10,119.80277344778231,120.85176056937233,LEC
11,235.5638520927834,232.16532127594843,SAI
12,119.66074322851331,118.16274020816904,SAI
13,227.92026573089643,223.72635325079517,SAI
14,273.98733468518793,273.1179997013333,SAI
15,215.8372848150865,220.18035073966206,LEC
16,207.13287720500347,200.34012550464647,SAI
17,253.64104924444447,254.78533921975307,LEC
18,196.33171034760935,209.61143572514453,LEC
19,194.16420690849128,188.00102407195766,SAI
20,269.05050984065815,263.1616186697143,SAI
21,289.4232868899717,288.0059026222222,SAI
22,168.52143472388366,166.4620646618751,SAI
23,220.54358357245937,217.27263761777778,SAI
24,276.23258380551,272.27649913416485,SAI
25,,285.6166656,LEC
