Minisector,GAS,OCO,Fastest
0,292.04598304409853,293.78729078864274,OCO
1,303.43993961430294,303.2230901636339,GAS
2,272.98093623210343,284.3489846462574,OCO
3,104.59820507410662,110.25843555139274,OCO
4,219.92952395016096,223.30668290799687,OCO
5,272.73181192762416,273.0929154149083,OCO
6,206.34809656470412,204.11677587809524,GAS
7,157.82998940814124,157.25773142245166,GAS
8,211.59905170370965,200.67030990611377,GAS
9,214.77108111578727,206.63940437225912,GAS
10,113.49880061770968,113.37830852854225,GAS
11,227.1137223644181,223.845742051074,GAS
12,116.68465854995188,116.8505006018197,OCO
13,225.41181127602422,213.41583957263273,GAS
14,277.3154426141799,276.4805194979894,GAS
15,215.573577981277,220.6058065746077,OCO
16,189.47689490928818,173.18193643675676,GAS
17,250.522489668461,246.87556664314698,GAS
18,190.0441779669262,204.6962958788491,OCO
19,181.78654812520637,163.23939441615445,GAS
20,261.9244599589925,260.2448988601443,GAS
21,290.59288798718615,291.8110639420798,OCO
22,173.42206656028998,178.8815327687218,OCO
23,206.89751253795094,195.846355260411,GAS
24,270.1104622420756,272.4590039038279,OCO
25,,292.79687466666667,OCO
