Minisector,PER,BOT,Fastest
0,292.37612861555215,306.05689298590477,BOT
1,209.2089241918797,213.67613214253677,BOT
2,225.80384279536142,226.9023478866658,BOT
3,274.1497069234533,278.56797861248555,BOT
4,249.01467658450167,256.8785974230549,BOT
5,132.55067723330006,131.64712260652274,PER
6,212.67638772167044,210.2700285238243,PER
7,257.14806821388714,255.16470542933845,PER
8,246.44721202381749,237.3510352578266,PER
9,231.30658821804985,232.44098008180777,BOT
10,275.6661821884092,273.90761638617283,PER
11,294.3899368012426,292.7011923466667,PER
12,303.8828127911111,303.53328061460314,PER
13,308.16907902556386,309.73146936541355,BOT
14,311.3117647372549,307.69730649685846,PER
15,268.21262633802314,253.3338635116883,PER
16,240.13754675870317,234.38082752737654,PER
17,278.485781494722,275.8483483173449,PER
18,296.80263518695904,290.3506003605549,PER
19,156.3298408815777,154.48890491856352,PER
20,209.1120091263734,210.85727179880837,BOT
21,188.49093526531183,189.39148995809526,BOT
22,137.10975051271433,137.14311848250307,BOT
23,238.70394073469205,238.45382867860587,PER
24,281.67376554739394,279.00700057371427,PER
25,,288.73500032,BOT
