Minisector,NOR,PIA,Fastest
0,255.99750432000002,259.80806613946874,PIA
1,129.2842454432168,131.812065285739,PIA
2,197.06962623558897,200.65713781604276,PIA
3,247.19641813679655,245.96894031238094,NOR
4,256.5984772854701,257.36745944533334,PIA
5,172.97829843682538,173.0870140533669,PIA
6,140.32955724391428,143.39129671013433,PIA
7,173.3082674575084,182.57352601147156,PIA
8,98.16889323391102,96.1693457642469,NOR
9,69.32462487296606,69.32740229531561,PIA
10,88.80994227170974,91.55487569600302,PIA
11,171.81909369825107,178.2440294675664,PIA
12,243.19778754461538,245.64727494518516,PIA
13,268.6125114240736,270.11581899831936,PIA
14,276.22798302666666,272.27972110222225,NOR
15,111.0833332838906,106.71082799623642,NOR
16,139.66180120170148,143.82727843434972,PIA
17,187.74842099580772,178.4019747798167,NOR
18,197.31417170462336,191.85243819253375,NOR
19,215.52401820352094,204.97436812282828,NOR
20,132.3849651331648,131.21360320479843,NOR
21,111.6553097291806,109.99810957340549,NOR
22,89.88951906641583,92.20012981255991,PIA
23,194.19934726636413,195.83000786742804,PIA
24,250.48405691803583,250.4454161659259,NOR
