Minisector,VER,OCO,Fastest
0,256.07129795555556,258.9441194666666,OCO
1,133.34325655851507,129.9737132071324,VER
2,199.37145525333332,194.16328471759854,VER
3,246.59772115513138,242.3828421647059,VER
4,258.16093786666664,259.02039578270336,OCO
5,186.01941822524086,180.6121625266899,VER
6,148.87088707772384,149.13611168395062,OCO
7,184.88436166393154,181.4698718538463,VER
8,104.62414544708099,102.37424938165996,VER
9,78.80823169201705,77.72307269660175,VER
10,95.80596333327723,94.80824542782746,VER
11,178.3522205387133,179.7977026985382,OCO
12,245.1013822008274,242.033259643603,VER
13,262.20868985904764,265.32745041568626,OCO
14,262.66139701490556,277.6815478095238,OCO
15,119.85051417426209,120.10212836922119,OCO
16,141.8949575374603,144.31798194829932,OCO
17,194.1988765018619,191.62009105317964,VER
18,200.95687306666667,197.88968071111108,VER
19,219.04407938245618,216.68815938245615,VER
20,133.61591366603122,132.02569380640142,VER
21,119.85919240942854,110.52933054569421,VER
22,94.44349421695948,94.34000751020409,VER
23,195.50634681904762,193.69714885295969,VER
24,249.2865179607843,246.12152663703702,VER
