Minisector,BOT,ALB,Fastest
0,264.855633362963,264.27373165119076,BOT
1,297.4876740279838,292.99505144761906,BOT
2,313.2023365737878,307.7710453877551,BOT
3,323.15154784507934,315.5702775466667,BOT
4,329.60119055238096,319.96805546666667,BOT
5,332.35714285714283,322.5065475809524,BOT
6,282.6164409904762,284.6671908,ALB
7,114.83643071405977,118.5776204542497,ALB
8,151.7015284977778,153.4268835435695,ALB
9,251.40739412153607,250.11319253333335,BOT
10,289.92000035555554,287.4196419176743,BOT
11,243.81270672,233.28208177349163,BOT
12,94.23296588199207,94.61063759461334,ALB
13,110.47669409160144,111.97311866070065,ALB
14,212.00229974718613,214.60825097835496,ALB
15,194.80231427626376,191.49478474167617,BOT
16,224.27460317460316,225.3277479351636,ALB
17,193.21483206984126,192.21815548571428,BOT
18,225.41048500809393,223.05428681738118,BOT
19,276.0509525938254,271.5123440304646,BOT
20,295.14166666666665,287.8656256,BOT
21,157.85605415303777,162.93385718562055,ALB
22,101.41019003177736,102.75032251828932,ALB
23,119.84669487059865,123.2466585654424,ALB
24,206.1003070108609,207.36721993571516,ALB
