Minisector,STR,VET,Fastest
0,307.3824065777778,285.98287966621314,STR
1,325.176077934156,294.2249736412247,STR
2,336.87303915742297,297.66080945630154,STR
3,315.4351880888889,296.37837302857145,STR
4,165.04364309634755,171.41332606507953,VET
5,204.0990950659612,211.0307093728395,VET
6,234.46754834307066,234.95694284221335,VET
7,266.4909085090909,263.2379054614719,STR
8,251.97490318975804,259.72191439653676,VET
9,162.0084658381101,160.2729796317685,STR
10,228.34489598536325,228.7518254822346,VET
11,130.0533715384988,137.7051347881558,VET
12,225.56970339268483,222.76620152486512,STR
13,187.15309250752688,194.1703936032382,VET
14,221.10234306174073,207.12664511351326,STR
15,243.09937933913042,236.61579884444447,STR
16,257.3794845846606,252.84315413632842,STR
17,283.974352576975,279.2831663764012,STR
18,122.53481333263494,137.88391051847216,VET
19,159.83683454074074,154.22647358747355,STR
20,144.77661310935628,139.9196872010843,STR
21,159.02479261120294,164.39258029188463,VET
22,117.10385030592808,111.46156936797924,STR
23,227.07273252693332,217.05749106567308,STR
24,270.08890631341995,263.03035385907543,STR
25,283.3374976,277.5714285714286,STR
