Minisector,LEC,RIC,Fastest
0,245.3381896827586,249.41195591594584,RIC
1,279.51180555555555,285.57604533494793,RIC
2,187.45750643656555,179.65456704111116,LEC
3,154.18816290909092,154.18184859533037,LEC
4,255.79296988607717,259.41210362912625,RIC
5,273.6139047619048,264.45464713846155,LEC
6,218.24098160639346,221.44192845281685,RIC
7,197.2113774976871,192.74817970714633,LEC
8,151.6503306538639,147.14628629399584,LEC
9,211.9120096887617,212.28165040424142,RIC
10,272.59583333333336,268.5610831541295,LEC
11,128.18545702717367,117.52657878513232,LEC
12,206.33769136649863,215.49188332923092,RIC
13,269.1148351648352,273.2354778854229,RIC
14,289.6654951766528,291.0076891997602,RIC
15,297.88999680738425,298.5802239126014,RIC
16,252.2393515851852,225.88628848172044,LEC
17,133.57521097428085,133.12574834881977,LEC
18,128.5394589828105,127.5399598855012,LEC
19,120.32852110320545,115.54641093401351,LEC
20,222.1710523579312,229.0044156913992,RIC
21,250.93086419753087,249.8702604021164,LEC
22,244.88021019858266,228.0320415120902,LEC
23,225.07871002412696,209.24686065223665,LEC
24,142.31148519343185,134.57940795010637,LEC
