Minisector,NOR,RUS,Fastest
0,296.0713980080145,293.50661801978134,NOR
1,308.02173225169594,305.444129224,NOR
2,307.0063722745092,309.09251789409734,RUS
3,192.78188646875842,190.51937647084213,NOR
4,209.4452247165088,212.5042686456508,RUS
5,205.6538997483833,203.82679243706622,NOR
6,267.20343376950956,266.2515069052181,NOR
7,253.3282616139231,261.9057687863781,RUS
8,217.62219607566624,218.18478802826687,RUS
9,205.4905370864649,204.74974991241925,NOR
10,143.0020658374785,140.69635441796098,NOR
11,201.31039235261,194.7475293347734,NOR
12,186.69949370666788,184.2840652928,NOR
13,252.92421129701393,255.35697604113162,RUS
14,178.86926472415678,173.3644781081489,NOR
15,236.13111084990112,236.2354066742834,RUS
16,280.63725092566426,282.3960672577942,RUS
17,293.9648884742857,292.7478835750308,NOR
18,289.2693897363408,287.24575646779783,NOR
19,272.91590179646494,264.8405478177329,NOR
20,269.87058571914764,266.0272570056028,NOR
21,264.81167873061753,266.18416542376815,RUS
22,227.96962525950184,226.79318505703108,NOR
23,207.2581111817492,209.56698440528424,RUS
24,271.7165577156856,272.7139769890909,RUS
