Minisector,ALO,HUL,Fastest
0,289.02212938235095,298.76208661333334,HUL
1,290.8344395920772,301.9378840647037,HUL
2,157.65576173800093,148.6111467927778,ALO
3,216.1486029512155,222.93643777601434,HUL
4,270.16606634871465,280.45586180190475,HUL
5,292.7202615365079,307.73229200000003,HUL
6,302.81334058353684,319.3014717501141,HUL
7,162.91611043366046,142.21417233713026,ALO
8,123.00022666545362,125.48057482821453,HUL
9,249.09752501051148,251.39518715959596,HUL
10,283.26641202796316,293.88110460340226,HUL
11,293.1729756363636,304.94914295529406,HUL
12,137.11279015607298,139.72896259682312,HUL
13,196.58850459281012,188.63847977106718,ALO
14,250.85165752323232,254.64230286997497,HUL
15,193.2076596141153,199.08541641997547,HUL
16,203.04487678780953,215.894589395671,HUL
17,203.4295848305014,204.81184540054122,HUL
18,238.03343839999997,239.13127369580246,HUL
19,273.600181938636,275.0316421567251,HUL
20,293.02162283789477,290.1741381699346,ALO
21,262.93964727578947,251.87727472987658,ALO
22,208.9180735302634,219.80011109670332,HUL
23,190.72538992786156,200.47308172522588,HUL
24,263.926837196705,262.22556769684206,ALO
25,,279.95760552653303,HUL
