Minisector,RIC,NOR,Fastest
0,318.83753837754847,322.4640592253968,NOR
1,326.5250000197531,329.72337973333333,NOR
2,321.6641516356525,328.9749998814815,NOR
3,174.32260051685972,170.72239925571935,RIC
4,136.1162229164021,135.72807055012345,RIC
5,268.8394498230008,271.3157817909307,NOR
6,300.0150977800866,301.9206181869151,NOR
7,307.6202082666667,307.3125,RIC
8,255.54525966984127,258.49109651800825,NOR
9,155.80365021676747,150.5005588288984,RIC
10,224.42520517530863,216.05379551678266,RIC
11,231.2819008488692,223.625397621164,RIC
12,206.31245853904056,197.01542054492916,RIC
13,274.5081525797101,277.0343177076605,NOR
14,306.65804756087033,309.9614884114286,NOR
15,315.07312496,316.54120716190477,NOR
16,254.5972655712956,239.24024507545786,RIC
17,215.3016709924757,217.5897873515651,NOR
18,277.5600112138528,282.2804661748918,NOR
19,307.78396305189756,312.69690512,NOR
20,316.09642858345865,323.52935462656643,NOR
21,297.8257955555556,282.24655610434786,RIC
22,213.8611907214319,207.73057565976373,RIC
23,268.7302126836959,275.3522733090909,NOR
24,303.3657879147392,308.9732203246832,NOR
