Minisector,LEC,VAN,Fastest
0,280.7440142984127,277.70677864973544,LEC
1,304.6636917595504,307.1366917581762,VAN
2,316.0107993360544,328.64540804353743,VAN
3,322.7490384410257,343.1065473523809,VAN
4,327.79251700680277,344.6618589538462,VAN
5,330.3331037268308,343.13461530256416,VAN
6,211.97083454891774,199.0534744,LEC
7,107.4634579958188,105.16461702235789,LEC
8,178.3464650987086,187.96068902857144,VAN
9,267.13897079215684,262.49367132600344,LEC
10,298.0777777777778,295.56666666666666,LEC
11,177.27514026372808,167.0943455904762,LEC
12,97.74829144150557,95.55038919123061,LEC
13,118.64011814988349,116.63592021374355,LEC
14,224.95660400286042,219.5441318675737,LEC
15,183.40498475555555,179.12238429428862,LEC
16,224.3758319686137,212.1895017004329,LEC
17,172.48254499856483,170.91542110641143,LEC
18,241.67136522862702,235.34375059649125,LEC
19,286.24009093427605,274.60264448118073,LEC
20,255.40139075555555,243.80227478997844,LEC
21,148.38085928120765,139.09407637332362,LEC
22,97.42126403333658,95.57472305905985,LEC
23,123.95802440946929,119.8543567459177,LEC
24,232.39613146666665,220.6452380952381,LEC
25,,255.77499840000002,VAN
