Minisector,NOR,TSU,Fastest
0,285.37336053958876,289.7060003337143,TSU
1,296.2197883653184,300.1535234900585,TSU
2,301.1437603630476,306.5166665955556,TSU
3,295.8441432611241,309.6464223472278,TSU
4,203.11592877538462,190.89218062500768,NOR
5,225.47664005789622,220.7992184180089,NOR
6,270.12706903945576,267.37946602613204,NOR
7,269.36558773870536,252.2853536865056,NOR
8,202.01633612321604,191.23776603102039,NOR
9,148.71988647029778,143.5614228015605,NOR
10,183.783324032,185.85054448644001,TSU
11,263.78149303299904,265.4256146949247,TSU
12,254.54569744969695,239.59492622503294,NOR
13,233.58602536019862,229.26594769416897,NOR
14,270.5549042707692,264.7248705582623,NOR
15,176.69246525746033,164.8336201600153,NOR
16,224.23617857697056,231.5887634727619,TSU
17,242.06728180102562,232.06892914877972,NOR
18,133.62784051263185,132.18252761228172,NOR
19,244.94368243501683,247.43521588226162,TSU
20,283.807190822924,286.19757661090904,TSU
21,251.02426859537414,219.29757434603385,NOR
22,144.98029314785492,140.52271667567393,NOR
23,218.07503671706726,217.9809500221824,NOR
24,269.58825350745,270.2781860732895,TSU
