Minisector,RIC,MAG,Fastest
0,277.98586949565214,280.15915274378153,MAG
1,293.11777237602496,297.5331161904626,MAG
2,239.69733307733333,241.87941695873016,MAG
3,119.85583988216939,120.26052902359521,MAG
4,135.3861672714205,123.10224849975893,RIC
5,248.98866608253968,246.13527327569773,RIC
6,257.5112235836876,260.90521538850754,MAG
7,129.93877080852798,123.00408962619048,RIC
8,247.20398608695652,245.87460709673866,RIC
9,265.891856,262.3835921026915,RIC
10,222.43128845573622,198.42538279281013,RIC
11,145.49212629118784,143.08204271049803,RIC
12,209.9557286071326,203.79121974421767,RIC
13,263.6761620208617,263.7291141334903,MAG
14,124.81225963034295,117.77264723373135,RIC
15,190.28362001051087,183.01249976666668,RIC
16,254.84274670422045,254.2945739345153,RIC
17,285.4889928048344,287.9363095873016,MAG
18,296.1120615298246,300.8183333333333,MAG
19,300.22785094736844,305.68657404444446,MAG
20,303.6997917333333,310.11499989333333,MAG
21,189.3967130120062,183.1534504416811,RIC
22,137.3658699114048,134.1992801355941,RIC
23,209.23009339373147,196.33809411906847,RIC
24,235.66344106971428,231.5154560867735,RIC
25,264.35,268.38472284444447,MAG
