Minisector,LEC,SAI,Fastest
0,282.37971085687803,281.69988531738386,LEC
1,299.570410730284,296.7523712258817,LEC
2,293.9512031924544,291.36080529044136,LEC
3,169.61960263667453,175.76924393547785,SAI
4,216.97183358653174,216.88003292902056,LEC
5,196.67488637288739,194.0444904646859,LEC
6,175.10978268145524,175.82730763341945,SAI
7,199.89491850525727,203.35716649005198,SAI
8,252.26980868002383,255.37087940114284,SAI
9,264.84622327238094,261.3795021381065,LEC
10,163.1674900898324,166.16832034741597,SAI
11,232.2946842740497,231.766669448506,LEC
12,111.34401498118586,112.45824338191237,SAI
13,223.74716717489252,220.21388979614056,LEC
14,276.55446844557724,274.53514774494334,LEC
15,293.4332961,288.7556071749767,LEC
16,204.70572119264182,203.30976666740565,LEC
17,184.11337522739078,182.77103995832684,LEC
18,260.6507581554669,265.57027567238094,SAI
19,292.0693109044346,290.39201931081953,LEC
20,303.7369124537987,301.62987774814815,LEC
21,304.92100273724867,301.01146691438015,LEC
22,273.55926440478805,276.1758485245599,SAI
23,113.48025848064648,112.10357467456797,LEC
24,232.41539070476188,236.2217189396355,SAI
