Minisector,RIC,OCO,Fastest
0,319.0270186136646,319.8594200115942,OCO
1,326.11136373333335,330.42916673939396,OCO
2,322.2665631072464,329.2113636363636,OCO
3,193.3140869175101,202.47617620080962,OCO
4,116.4502825633475,115.3133778387523,RIC
5,264.7125501590819,262.37175841975306,RIC
6,300.8456931097432,299.99497405577495,RIC
7,311.88876823188406,315.0286232115942,OCO
8,274.8883319933509,278.5316602853628,OCO
9,139.39541771573892,138.97340383657794,RIC
10,221.6054244235518,215.5992642917376,RIC
11,216.15252539879634,207.08094322335552,RIC
12,192.6915492778303,183.9605188785606,RIC
13,266.24856215123225,262.7961673533637,RIC
14,303.4730869238572,302.7740149734116,RIC
15,311.7875517283644,319.6538043826087,OCO
16,259.08684452037437,264.08605854013643,OCO
17,205.3925887207934,196.51380234637404,RIC
18,271.39559370282694,264.1948494524965,RIC
19,305.9310039850932,305.91525181527476,RIC
20,318.8538823566912,322.6162878060606,OCO
21,307.9493064888889,310.03611226666663,OCO
22,206.86811400293732,198.2922749984974,RIC
23,262.9901779047619,260.3712956839506,RIC
24,300.03869608766496,301.1884196335162,OCO
25,293.1499968,,RIC
