Minisector,GAS,ALB,Fastest
0,235.92100173249108,231.40320209212675,GAS
1,283.5285947211303,282.40658456903697,GAS
2,297.61133329066666,296.9020238751813,GAS
3,305.04829198178055,302.0752893925926,GAS
4,271.01239386391035,261.05177059787496,GAS
5,167.92222716219513,166.11199036201637,GAS
6,263.6710287637355,261.870999844112,GAS
7,281.79980800237826,278.4707542299404,GAS
8,216.78197597045695,211.97829069232512,GAS
9,222.35351880948394,219.08062579015478,GAS
10,185.58678157432337,185.42450592385543,GAS
11,227.07160668339284,222.93715123215702,GAS
12,205.83101589334882,206.27050100168066,ALB
13,212.87040680690518,215.5890337261486,ALB
14,223.22521423044319,218.87226001040105,GAS
15,181.08118980479003,180.71067218033974,GAS
16,247.92751696259154,243.72961973821415,GAS
17,286.7467134718027,286.27928540038096,GAS
18,300.45260413333335,297.30335384183894,GAS
19,297.1185562656415,283.8570999308642,GAS
20,130.97718594987762,131.88545710236278,ALB
21,164.57395051784437,168.3229495486205,ALB
22,146.71207148374245,138.77644452646652,GAS
23,205.17198438652184,214.06723182431372,ALB
24,147.009933032345,144.2314842838522,GAS
25,,179.79444195555553,ALB
