Minisector,ALB,BEA,Fastest
0,284.14724986915826,296.46930316880116,BEA
1,152.66772213248112,154.75790322850105,BEA
2,148.29081190526438,153.76479554552105,BEA
3,221.08596353812243,224.88857898155604,BEA
4,286.9037064510529,289.35252258933184,BEA
5,283.7309028642856,288.3940522325457,BEA
6,136.83074600848764,140.15377174162106,BEA
7,137.38466629756613,132.36217717249878,ALB
8,126.9017691158403,132.58901118482498,BEA
9,184.54311564633417,183.39223711353537,ALB
10,121.89409297499061,126.1632305980308,BEA
11,128.043182859362,123.49290142373214,ALB
12,164.29158430585318,160.504088533055,ALB
13,266.8716521679238,268.40768555408425,BEA
14,291.5685513473016,292.82822474037215,BEA
15,149.14963383265805,143.5731536464759,ALB
16,199.14124482859845,199.45615012305447,BEA
17,171.84282773176014,167.5129007549434,ALB
18,269.059352813818,270.89030739890575,BEA
19,293.99107688727275,297.72435087792206,BEA
20,309.1799181161544,313.0952867454573,BEA
21,318.98725660259737,322.1577993062185,BEA
22,323.9382633139492,326.0545002524444,BEA
23,326.6711842021053,328.5244480377994,BEA
24,325.21932274539586,327.8078913333333,BEA
25,,324.0,BEA
