Minisector,PIA,ANT,Fastest
0,297.5119199927746,290.27443195967305,PIA
1,170.5059265722546,165.18404254627666,PIA
2,175.48174109373932,171.31991844000441,PIA
3,252.95768725394285,255.264927990325,ANT
4,288.39125351339254,287.5743527666612,PIA
5,253.58724090510802,252.7829704133609,PIA
6,233.62216212453134,224.0478802196788,PIA
7,157.398032446749,152.7724371941061,PIA
8,229.30860568435767,233.973115642796,ANT
9,283.7347807047619,280.1627839806061,PIA
10,305.1311377750932,301.9407362793223,PIA
11,314.53563180440125,312.806305033933,PIA
12,319.4846198269006,318.16172443520924,PIA
13,317.5215765982547,314.85613867212277,PIA
14,124.19838569530837,125.30930925219728,ANT
15,117.53197088204112,120.02186048286762,ANT
16,103.87297407637402,102.81771506832017,PIA
17,237.2980524051777,231.7502761199093,PIA
18,286.26661828848484,283.7915552735462,PIA
19,305.3883286030382,305.24366194567904,PIA
20,315.19712907402317,317.0056977890438,ANT
21,316.80897609916855,320.217845664713,ANT
22,122.84793037376956,129.4181419841151,ANT
23,212.00121311181022,202.62680022332714,PIA
24,271.80091471179577,271.3514097369312,PIA
25,286.9124992,,PIA
