Minisector,ALO,STR,Fastest
0,297.05251435503084,319.2011054367347,STR
1,160.11217731512755,160.81107572032522,STR
2,153.15567752307572,194.61385833736986,STR
3,220.69637258291158,158.79454204288572,ALO
4,282.26829732173917,277.56340660869563,ALO
5,289.26913013333336,307.40703466589974,STR
6,145.63281224086762,158.52934346542588,STR
7,136.92277575192043,133.9758701686174,ALO
8,143.67488752437404,191.30989355763654,STR
9,179.3945577185185,124.79430756158976,ALO
10,133.53323212030156,167.1440372987101,STR
11,123.03265015422205,130.87178584419095,STR
12,162.11037713849728,121.50683966181995,ALO
13,260.5255420127336,250.51786727909527,ALO
14,281.93612818550724,284.8498626696752,STR
15,151.22291142945735,197.03142942431268,STR
16,209.1152096536471,169.07199422347284,ALO
17,162.58277608849184,150.88765062222222,ALO
18,261.5236992834393,247.15011959688897,ALO
19,284.73505391595336,292.0552678860863,STR
20,296.9735416533333,305.3535413866667,STR
21,304.20218245079366,320.15595215238096,STR
22,309.6618788671607,328.0293669833693,STR
23,312.31689351836735,340.20416639999996,STR
24,309.4328505979668,339.05187643405907,STR
