Minisector,HAM,TSU,Fastest
0,245.82190707837185,246.83975486802723,TSU
1,280.38888888888886,282.278638620828,TSU
2,186.66390376230257,184.27309472462247,HAM
3,158.7510204335601,151.90621941419266,HAM
4,259.3979295976884,259.49097227318396,TSU
5,265.68666666666667,262.0906517107584,HAM
6,222.77760746666667,209.85602852066145,HAM
7,203.30465684705882,183.53710832681705,HAM
8,152.9703787878788,150.95934979616234,HAM
9,209.60827691556415,206.1295609207323,HAM
10,269.1333333333333,273.6690006186667,TSU
11,128.6091040213733,122.15093929529237,HAM
12,208.22836585540256,203.78422025268293,HAM
13,271.01914285714287,272.03438162285715,TSU
14,292.30605654819226,291.665645333704,HAM
15,300.72234454717994,298.8884058898551,HAM
16,247.4896551724138,233.55999523555556,HAM
17,138.38112447916774,128.31890028272562,HAM
18,131.93311719209026,127.51047094880872,HAM
19,123.07596295824702,115.89089102187191,HAM
20,223.2394409414204,224.22774532031224,TSU
21,249.1635802469136,252.6674391703704,TSU
22,240.8013380441843,229.78088907839614,HAM
23,222.32775855118467,213.30234266190476,HAM
24,140.67900643796855,135.60988225386697,HAM
25,213.79166933333335,,HAM
