Minisector,RUS,SAI,Fastest
0,315.7332797733489,316.08392667420895,SAI
1,324.57822929246794,323.4429915912868,RUS
2,318.4045915488926,320.0737337662338,SAI
3,182.00097925794367,170.83738609386722,RUS
4,125.29415321261365,132.82949314800283,SAI
5,259.80381901553943,262.35433333333333,SAI
6,297.44294589941524,296.52424996143947,RUS
7,309.7681663260681,308.09732919254657,RUS
8,267.3733949497861,253.98665501836348,RUS
9,146.3521899173246,146.15603687331952,RUS
10,210.0493469393438,213.39125154227992,SAI
11,211.19724262464223,217.15111309811348,SAI
12,191.1576341076751,197.4223234384663,SAI
13,265.05865171814634,267.2269286064649,SAI
14,299.30319643806484,302.3797138278388,SAI
15,309.7292527260119,311.1563509915152,SAI
16,258.0353023649524,260.6892704380952,SAI
17,212.3703171062912,213.3411511522715,SAI
18,272.83066645134573,275.15684265010356,SAI
19,302.5760385298415,304.979138676423,SAI
20,315.0144444109668,312.3552814095238,RUS
21,297.90243133968255,290.3928472222222,RUS
22,203.24389291450737,210.08191735829806,SAI
23,262.578411054966,267.3533274692386,SAI
24,298.7500535783575,300.8643822123054,SAI
