Minisector,PER,TSU,Fastest
0,243.83464134133908,246.83975486802723,TSU
1,276.35126775652174,282.278638620828,TSU
2,189.4589672008931,181.71821061783416,PER
3,151.50888887071469,153.3770994311819,TSU
4,257.77344579009815,259.49097227318396,TSU
5,269.099613030607,262.0906517107584,PER
6,219.26463602868176,209.85602852066145,PER
7,201.5784393745228,183.53710832681705,PER
8,152.0204885087156,150.90627394345074,PER
9,209.48796927591908,209.5019195112085,TSU
10,271.96857080076194,274.6916672,TSU
11,126.45091483397044,119.67132562008618,PER
12,205.36472166273754,208.38531695180893,TSU
13,267.79499942399997,272.03438162285715,TSU
14,287.13066720309075,291.665645333704,TSU
15,293.59257252173916,298.9347223111111,TSU
16,251.3811384346522,227.39261411555557,PER
17,135.53919050893813,128.42119141372294,PER
18,130.0415860948986,128.69508640375378,PER
19,121.42160081090567,117.47430827234868,PER
20,221.4109693136225,226.51075325765595,TSU
21,250.92746850088184,253.9054020740741,TSU
22,238.49406152366893,225.51860243715757,PER
23,217.89231816666666,210.79739436190476,PER
24,140.10113623538652,135.28494835828684,PER
25,214.0,,PER
