Minisector,PER,GAS,Fastest
0,244.31323568953712,243.66932704335238,PER
1,277.366944167718,276.34716404444447,PER
2,180.2238389281439,173.03100289153437,PER
3,148.79709163705834,152.79442544127136,GAS
4,254.62159997384754,255.30569457005714,GAS
5,265.7395781735727,264.8351278416649,PER
6,225.6239092530939,226.42067257641025,GAS
7,204.54279634708416,203.98716225570007,PER
8,154.5577589297571,158.1339707992381,GAS
9,209.43537463077317,209.93026589170069,GAS
10,268.5023348738949,269.89092423023766,GAS
11,123.0432868482469,130.9124140222962,GAS
12,204.70179534365812,197.74532714161103,PER
13,268.4458598484849,268.2360806397883,PER
14,290.1931450721084,290.0634802969657,PER
15,298.59014223871367,297.6566523049928,PER
16,245.03634998881844,238.66560690618633,PER
17,134.20245128786527,132.11415778615904,PER
18,133.10281354054067,125.77370591238218,PER
19,119.25538929349055,121.76904922309673,GAS
20,221.3229202835055,221.28348942865335,PER
21,253.68984444444447,256.2930557097821,GAS
22,240.94865495234174,241.96201151718816,GAS
23,214.61171319102354,220.1379820821149,GAS
24,140.22533566400244,133.95510054466106,PER
25,,211.73333119999998,GAS
