Minisector,LEC,GAS,Fastest
0,275.69574742054283,276.9552913612443,GAS
1,291.71964281904764,294.84404154905206,GAS
2,283.16954050199837,292.6953653576609,GAS
3,183.69745831501723,184.90655426355286,GAS
4,132.3636095535924,130.0918009078397,LEC
5,244.54791234126318,242.3211141451966,LEC
6,284.25273608200115,283.6035505978121,LEC
7,291.5907730458722,289.7481889855072,LEC
8,180.11602958874624,178.05682999060787,LEC
9,148.48894267179483,145.27111280438749,LEC
10,256.5864360937956,255.7707521961409,LEC
11,286.96812789016434,286.81778430554107,LEC
12,295.84568996213517,296.86128007213773,GAS
13,284.9867607535482,284.8809027111111,LEC
14,296.59184386359755,300.554035781995,GAS
15,293.65850116955295,299.77196632504575,GAS
16,262.10332280685594,254.8566587401419,LEC
17,230.24009678451367,230.01075712185497,LEC
18,281.7393229218385,282.4349233266519,GAS
19,300.5841406029279,303.43010316294874,GAS
20,299.9663647584296,306.9309947666291,GAS
21,231.0531324627275,233.34309673502045,GAS
22,262.3698128278824,261.6985792227791,LEC
23,139.39067606047038,137.70365276124744,LEC
24,220.31854382179182,216.85597988444368,LEC
25,,259.3624992,GAS
