Minisector,BOT,ALO,Fastest
0,292.902976152381,314.99237633949963,ALO
1,295.22687498666664,321.7985291921569,ALO
2,296.42324564210526,319.5943123386244,ALO
3,237.64871213898496,232.5354461591084,BOT
4,239.6027067848812,232.69626212571427,BOT
5,119.37720395018545,114.76774099965452,BOT
6,219.44660543209878,214.36000916095247,BOT
7,270.0965128489796,266.83406740194744,BOT
8,240.2646407192381,233.455336192,BOT
9,118.68357647479735,114.6807611022038,BOT
10,236.95514464368313,232.73698413244932,BOT
11,259.17543315670997,256.4068844521739,BOT
12,140.1993841196099,136.17597224379523,BOT
13,215.82868620227867,217.54159615531137,ALO
14,271.63595133339135,271.7113914054909,ALO
15,238.0402881584762,219.2264905084249,BOT
16,158.87829284044872,162.16735717889318,ALO
17,241.36998964444444,245.39275297391305,ALO
18,125.42668293097695,122.02833700617663,BOT
19,151.5357858021661,142.19369272296848,BOT
20,201.60336450311988,190.3951131954023,BOT
21,262.4725313559984,259.70988534989647,BOT
22,279.24666656,276.5440474412698,BOT
23,285.2962299936508,283.47321401904765,BOT
24,293.12158965703316,293.81381555660295,ALO
