Minisector,GAS,RIC,Fastest
0,290.65192311794874,297.37957144990474,RIC
1,159.53220767783338,158.19422928881082,GAS
2,153.04276129317523,149.11906043333272,GAS
3,222.30913978494624,223.09986931960376,RIC
4,283.56116671699755,287.7651904121905,RIC
5,289.73904761904765,292.65972222222223,RIC
6,146.29765568166556,144.6847850644732,GAS
7,141.17949596596677,139.51048792990477,GAS
8,149.17388938809256,144.88226195809523,GAS
9,179.247765861328,181.97834501379577,RIC
10,134.8563572998248,129.6232370803696,GAS
11,130.6675700579114,124.74521656628896,GAS
12,161.125575110028,164.43979300050657,RIC
13,265.1409968315801,270.48145934109345,RIC
14,290.7210144927536,291.2647204136306,RIC
15,154.66574864071345,150.75224337127796,GAS
16,211.12410071162935,211.26547980351748,RIC
17,167.08995653941153,165.74966773444362,GAS
18,267.60500946867245,271.89102564102564,RIC
19,290.4425843809524,297.0235964693198,RIC
20,302.5915427111111,310.155753968254,RIC
21,310.2536231884058,318.0232410578976,RIC
22,314.2809028,319.81060606060606,RIC
23,315.7915715795868,321.6666666666667,RIC
24,311.9520832820513,320.4901041333333,RIC
25,,317.6083349333333,RIC
