Minisector,VER,HAM,Fastest
0,300.60567100770976,296.65366444862497,VER
1,247.37159486081012,254.81800437040204,HAM
2,180.33501486671074,199.2708998816214,HAM
3,261.2980016407499,262.12266522714276,HAM
4,217.2188811308706,215.85846254283925,VER
5,111.6404539033745,113.19934449862227,HAM
6,173.54282509804713,171.4009458236428,VER
7,253.00631143733997,252.35437535089685,VER
8,289.90548152087274,288.08952374548295,VER
9,308.1901664258093,303.7181576400287,VER
10,315.73519923440864,306.273170137971,VER
11,212.70935042970174,229.14771911999998,HAM
12,142.02709316173977,139.7784564082891,VER
13,253.3956714976549,250.76737855981628,VER
14,290.03898284424093,287.50203608029557,VER
15,301.2126545619753,299.4368952332468,VER
16,293.41154135965365,297.604844354632,HAM
17,251.48173892948765,256.3080137948718,HAM
18,179.33043669719473,178.59526814326264,VER
19,179.11102153433967,175.65265822710677,VER
20,180.9918321187864,176.91777292038097,VER
21,239.85592459306667,241.73231246162075,HAM
22,117.47965671226184,121.6031185932203,HAM
23,192.82362910745516,193.18443029508742,HAM
24,274.59154452844945,275.336279454359,HAM
25,290.775510156694,,VER
