Minisector,ALO,TSU,Fastest
0,266.1545639836735,266.9601931368936,TSU
1,284.8035985138903,286.0289472,TSU
2,291.98910776395593,286.95005274028955,ALO
3,129.0450418046257,122.15046369185185,ALO
4,188.61092843515297,193.51610300418938,TSU
5,251.90211168282383,244.50924032132502,ALO
6,145.2798839931371,135.29744714678992,ALO
7,202.74008095107462,202.37762157037037,ALO
8,253.13227130372405,256.6298087155821,TSU
9,275.5940859152443,276.5589601122807,TSU
10,240.65217409855074,220.5653196763199,ALO
11,184.91567767298937,171.7930669659517,ALO
12,189.84817267163686,191.529052198236,TSU
13,153.83391759895727,141.01239114185464,ALO
14,179.38286367095753,173.67275956,ALO
15,168.34334761085984,159.66423148975468,ALO
16,219.41931211004174,218.37797971017142,ALO
17,237.94583295072465,223.50950058666666,ALO
18,237.6881808045407,234.9467605419984,ALO
19,239.9113226373431,224.163667584,ALO
20,144.8385235246114,144.9567757513827,TSU
21,137.20003115294153,129.3157742585034,ALO
22,170.3135075974828,173.52348205381136,TSU
23,154.28620971428572,149.3817140605764,ALO
24,224.37727464491815,227.81557931594205,TSU
25,251.4500032,,ALO
