Minisector,LAW,ALB,Fastest
0,257.07272363512044,260.76704837602466,ALB
1,134.03212509799204,135.56710515289137,ALB
2,208.1961265432381,198.46514295636365,LAW
3,246.47930254448485,248.0247958366704,ALB
4,260.62675124755583,256.4910501104762,LAW
5,176.51397542508948,176.24654238014432,LAW
6,147.77498335691092,150.10562878343163,ALB
7,186.7796686705325,184.49304004419048,LAW
8,103.87422829866178,103.01185977509768,LAW
9,73.5205762512512,69.97177422139681,LAW
10,97.78492455067592,96.7666279336777,LAW
11,186.06201040056692,186.91171927945578,ALB
12,244.48574971540089,247.8823892622222,ALB
13,266.05425676059645,270.64076342160905,ALB
14,274.3505039615246,279.1619232883878,ALB
15,102.34135497279038,114.56728028187145,ALB
16,159.5657573848119,169.82367633880594,ALB
17,181.99207420836893,184.76394738526315,ALB
18,200.97489310717467,202.6204851129568,ALB
19,213.76477854117647,205.6099324464935,LAW
20,137.0308801208303,140.61141174545455,ALB
21,110.36887724904511,107.43716688120301,LAW
22,99.75934785246163,105.16092836727273,ALB
23,199.82826215793,207.32219486916222,ALB
24,248.95894391466666,250.12815153333332,ALB
25,262.6,,LAW
