Minisector,RAI,ALO,Fastest
0,276.1204650605557,279.5680991675235,ALO
1,293.7905680753584,306.8614279720635,ALO
2,301.6098207560679,310.93750013333334,ALO
3,130.7866083078298,123.53863267160716,RAI
4,194.46322437613614,195.02163903011876,ALO
5,261.1275580105663,260.735418718406,RAI
6,142.22402730824345,133.78744964817832,RAI
7,203.70230925831143,205.36664899568305,ALO
8,263.38291268697174,258.7737720988899,RAI
9,284.8518231333333,278.25613423963904,RAI
10,236.56821911569492,226.4718779992263,RAI
11,188.85383665808905,178.26426657163427,RAI
12,190.19947618599798,188.87534670091634,RAI
13,148.13867114297736,141.3137912436827,RAI
14,172.92635278380507,171.8486818446849,RAI
15,159.67312192112718,155.99420407755485,RAI
16,209.7768124360351,216.43990770853864,ALO
17,237.93504876109463,228.35552009513708,RAI
18,239.8059039921711,238.99405101680023,RAI
19,256.9129724991625,234.29674381025316,RAI
20,142.2492002114188,139.87044693684223,RAI
21,138.15756358713358,130.57459140502934,RAI
22,166.7348256902939,169.14911400054476,ALO
23,151.08685182581635,142.26084384960777,RAI
24,231.47848675285007,227.966816222706,RAI
