Minisector,PER,MAG,Fastest
0,289.44935696605796,285.8623621657416,PER
1,300.43806560253967,296.34627388903664,PER
2,306.9164931259259,301.17418147817733,PER
3,308.0173608177778,298.9176599012063,PER
4,191.01646146873176,194.14290602914951,MAG
5,214.44377893084092,206.17066369805997,PER
6,264.985454017974,261.21365114248505,PER
7,270.5039359839286,264.644022757764,PER
8,189.56026337038776,184.89921644473048,PER
9,155.96498331418297,151.123694367812,PER
10,183.56639168864152,175.91135565119595,PER
11,257.54360801941044,255.44225576989274,PER
12,266.030166048,247.69444715652747,PER
13,231.22642501425383,216.5070920087912,PER
14,267.70397227644906,263.4405267491422,PER
15,164.645973398139,171.12934262756394,MAG
16,222.2879358184153,212.41959479991783,PER
17,230.50205241713985,244.8345793835498,MAG
18,135.75548665619922,132.05052698214394,PER
19,240.82246791040984,242.28355512948733,MAG
20,277.44838452390024,273.9334025015873,PER
21,248.9562965782047,259.03708692960083,MAG
22,144.01680988932586,136.48621558896625,PER
23,212.18664862476464,195.43069184696054,PER
24,267.9760353890909,261.23863392921214,PER
25,,278.47499946666665,MAG
