Minisector,HAM,NOR,Fastest
0,245.82190707837185,246.60757868693727,NOR
1,280.38888888888886,283.25533333333334,NOR
2,186.66390376230257,184.6851751810506,HAM
3,158.7510204335601,152.36689299428784,HAM
4,259.3979295976884,259.36615283807345,HAM
5,265.68666666666667,265.452314745679,HAM
6,222.77760746666667,214.9662726934602,HAM
7,203.30465684705882,195.0238628740658,HAM
8,152.9703787878788,148.45383581397496,HAM
9,209.60827691556415,211.4293561289517,NOR
10,269.1333333333333,268.0346666666667,HAM
11,128.6091040213733,125.43966393323431,HAM
12,208.22836585540256,207.26560762824226,HAM
13,271.01914285714287,271.21875003076923,NOR
14,292.30605654819226,291.982107993237,HAM
15,300.72234454717994,299.8855072463768,HAM
16,247.4896551724138,249.54986730633985,NOR
17,138.38112447916774,133.0148952217288,HAM
18,131.93311719209026,127.71532801031762,HAM
19,123.07596295824702,116.89112617117375,HAM
20,223.2394409414204,226.071013898217,NOR
21,249.1635802469136,254.5531085149912,NOR
22,240.8013380441843,234.7965378549112,HAM
23,222.32775855118467,216.82242397341616,HAM
24,140.67900643796855,135.49850668496327,HAM
25,213.79166933333335,,HAM
