Minisector,RUS,BOR,Fastest
0,299.55114181925927,299.5094079049624,RUS
1,218.62849319418027,201.60355492301483,RUS
2,206.08529499979798,217.80141766358975,BOR
3,268.2867103638247,267.66249743707766,RUS
4,234.17723596772487,245.2417250816,BOR
5,122.94633359564955,124.42258648037799,BOR
6,207.2913910418328,195.71850208268197,RUS
7,240.4242419668687,242.7411968910053,BOR
8,238.69029375542752,237.4459729923423,RUS
9,222.9864385590062,233.28935665747974,BOR
10,277.22054400438327,283.23018268469843,BOR
11,308.03365338085183,306.5932872539535,RUS
12,319.8874998736842,318.25691401441645,RUS
13,321.84714592144934,315.4671195520878,RUS
14,314.87452402539685,303.95446956791983,RUS
15,248.87005463219998,260.62813536517154,BOR
16,229.65115355115987,236.02873773491262,BOR
17,282.0817328279035,274.1725510995671,RUS
18,291.931050885545,287.1630509810935,RUS
19,159.68241253353793,158.16883472233118,RUS
20,196.88795730592977,187.42316199810685,RUS
21,189.00188637218506,189.18224737096156,BOR
22,129.03885124817162,127.31300329145245,RUS
23,227.36689418184207,221.40309544354005,RUS
24,268.9503010488363,282.38921938578477,BOR
25,291.93457085299855,295.0830550755556,BOR
