Minisector,NOR,ANT,Fastest
0,292.45572067927134,125.18439173804988,NOR
1,312.4125,184.01720888533333,NOR
2,326.65256418461536,187.4203248275744,NOR
3,335.1671849196639,154.950696659671,NOR
4,337.7085714285714,143.65505107027028,NOR
5,314.43352255584415,164.76002762694074,NOR
6,220.30076098228955,213.7378184567742,NOR
7,103.94505097142857,241.5282823446791,ANT
8,101.93294131814159,247.9360121904762,ANT
9,199.5208016227343,208.34969424915823,ANT
10,238.4748018285714,210.07750003692308,NOR
11,263.52751893172933,238.42245902683982,NOR
12,261.9262464242955,261.94989462562955,ANT
13,165.49720396087827,271.0,ANT
14,114.2168351847619,163.44326626275912,ANT
15,134.32363141333332,116.87085076500553,NOR
16,202.8448888888889,184.31902594526642,NOR
17,233.36440222608698,182.46870117925926,NOR
18,239.03148157037037,108.05507769962264,NOR
19,219.20671817333334,120.50265589435821,NOR
20,209.82440664565658,186.32535667200003,NOR
21,244.27493089777778,178.0,NOR
22,259.29453128,,NOR
23,263.49901711383217,,NOR
24,180.06720978962963,,NOR
